time_stamp	torque_joint_1	torque_joint_2	torque_joint_3	torque_joint_4	torque_joint_5	torque_joint_6	torque_joint_7	temperature_1	temperature_2	temperature_3	temperature_4	temperature_5	temperature_6	temperature_7
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
1.50427e+09	0	0	0	0	0	0	0	38	42	42	39	47	47	36
